Id,Category
0,3
1,10
2,6
3,9
4,6
5,3
6,9
7,10
8,3
9,2
10,10
11,0
12,5
13,10
14,0
15,9
16,9
17,4
18,2
19,9
20,3
21,5
22,3
23,3
24,1
25,3
26,10
27,5
28,9
29,0
30,2
31,9
32,3
33,2
34,2
35,9
36,5
37,10
38,10
39,2
40,6
41,2
42,2
43,2
44,2
45,1
46,10
47,0
48,8
49,9
50,10
51,1
52,3
53,4
54,0
55,8
56,6
57,9
58,6
59,9
60,5
61,8
62,2
63,3
64,10
65,8
66,2
67,9
68,4
69,10
70,5
71,6
72,6
73,1
74,9
75,6
76,0
77,9
78,2
79,9
80,0
81,0
82,9
83,8
84,6
85,4
86,4
87,4
88,10
89,9
90,4
91,0
92,3
93,2
94,6
95,6
96,2
97,2
98,6
99,10
100,2
101,2
102,8
103,1
104,4
105,7
106,6
107,5
108,9
109,3
110,5
111,5
112,9
113,3
114,9
115,4
116,9
117,6
118,9
119,2
120,0
121,5
122,0
123,0
124,1
125,4
126,6
127,8
128,10
129,9
130,5
131,2
132,3
133,3
134,2
135,2
136,3
137,6
138,3
139,0
140,2
141,4
142,2
143,2
144,9
145,0
146,9
147,5
148,8
149,4
150,2
151,10
152,6
153,3
154,10
155,1
156,9
157,2
158,8
159,2
160,5
161,4
162,5
163,5
164,9
165,8
166,8
167,8
168,3
169,9
170,9
171,2
172,4
173,4
174,0
175,6
176,2
177,10
178,8
179,4
180,9
181,8
182,9
183,9
184,9
185,9
186,4
187,4
188,6
189,4
190,0
191,3
192,2
193,6
194,6
195,4
196,8
197,9
198,0
199,9
200,9
201,8
202,5
203,7
204,2
205,9
206,7
207,9
208,10
209,9
210,2
211,5
212,2
213,2
214,2
215,2
216,10
217,0
218,6
219,0
220,0
221,2
222,2
223,6
224,5
225,5
226,9
227,9
228,6
229,3
230,0
231,9
232,7
233,2
234,3
235,9
236,9
237,10
238,4
239,7
240,0
241,3
242,0
243,4
244,2
245,9
246,2
247,9
248,10
249,9
250,9
251,3
252,2
253,6
254,9
255,2
256,0
257,9
258,4
259,0
260,8
261,8
262,9
263,10
264,4
265,9
266,1
267,0
268,0
269,9
270,4
271,2
272,10
273,4
274,6
275,9
276,9
277,2
278,9
279,9
280,9
281,9
282,2
283,0
284,10
285,0
286,2
287,4
288,2
289,10
290,9
291,4
292,9
293,8
294,4
295,6
296,7
297,0
298,9
299,5
300,6
301,9
302,3
303,1
304,0
305,10
306,2
307,0
308,9
309,1
310,9
311,0
312,1
313,8
314,9
315,3
316,7
317,6
318,6
319,9
320,1
321,9
322,5
323,0
324,4
325,3
326,5
327,6
328,10
329,4
330,1
331,0
332,6
333,9
334,1
335,2
336,3
337,2
338,5
339,10
340,9
341,6
342,5
343,5
344,3
345,4
346,10
347,6
348,4
349,9
350,4
351,5
352,6
353,2
354,6
355,2
356,0
357,10
358,10
359,9
360,9
361,5
362,10
363,5
364,2
365,5
366,4
367,4
368,9
369,7
370,9
371,0
372,2
373,4
374,6
375,2
376,9
377,9
378,4
379,5
380,10
381,6
382,3
383,9
384,4
385,0
386,4
387,10
388,10
389,0
390,0
391,7
392,10
393,10
394,7
395,2
396,8
397,8
398,8
399,9
400,9
401,4
402,9
403,9
404,6
405,3
406,5
407,5
408,0
409,4
410,6
411,7
412,3
413,7
414,3
415,6
416,4
417,4
418,1
419,2
420,5
421,9
422,2
423,0
424,5
425,9
426,6
427,9
428,9
429,9
430,4
431,0
432,4
433,8
434,3
435,2
436,8
437,10
438,1
439,1
440,10
441,4
442,2
443,1
444,5
445,9
446,5
447,10
448,0
449,9
450,4
451,9
452,4
453,9
454,6
455,6
456,9
457,8
458,8
459,7
460,6
461,9
462,10
463,10
464,1
465,4
466,6
467,7
468,9
469,0
470,5
471,4
472,8
473,2
474,9
475,6
476,6
477,2
478,2
479,9
480,2
481,4
482,9
483,1
484,10
485,4
486,9
487,9
488,5
489,9
490,3
491,6
492,7
493,2
494,5
495,2
496,8
497,10
498,9
499,10
500,6
501,1
502,9
503,6
504,4
505,6
506,6
507,8
508,10
509,10
510,2
511,6
512,9
513,0
514,0
515,2
516,9
517,9
518,6
519,6
520,2
521,3
522,6
523,1
524,2
525,2
526,4
527,9
528,6
529,0
530,4
531,9
532,4
533,9
534,7
535,10
536,9
537,0
538,8
539,6
540,2
541,2
542,5
543,0
544,9
545,1
546,0
547,5
548,3
549,6
550,9
551,2
552,9
553,6
554,0
555,8
556,1
557,2
558,9
559,2
560,0
561,9
562,2
563,8
564,0
565,9
566,5
567,1
568,8
569,2
570,2
571,4
572,4
573,5
574,2
575,4
576,10
577,0
578,1
579,0
580,9
581,5
582,9
583,9
584,0
585,6
586,9
587,9
588,6
589,5
590,9
591,3
592,9
593,5
594,0
595,9
596,0
597,3
598,4
599,4
600,5
601,10
602,0
603,6
604,0
605,9
606,9
607,5
608,5
609,3
610,5
611,9
612,8
613,0
614,9
615,10
616,8
617,9
618,0
619,9
620,7
621,4
622,4
623,2
624,9
625,4
626,3
627,2
628,2
629,6
630,0
631,0
632,2
633,2
634,9
635,2
636,9
637,1
638,9
639,9
640,10
641,0
642,9
643,4
644,4
645,0
646,6
647,2
648,6
649,5
650,7
651,10
652,8
653,2
654,2
655,5
656,5
657,2
658,9
659,3
660,1
661,6
662,0
663,9
664,9
665,9
666,0
667,2
668,9
669,4
670,7
671,9
672,2
673,0
674,6
675,6
676,3
677,2
678,2
679,2
680,2
681,3
682,2
683,4
684,0
685,7
686,6
687,4
688,10
689,6
690,8
691,9
692,4
693,5
694,4
695,8
696,6
697,8
698,9
699,9
700,9
701,3
702,10
703,0
704,0
705,10
706,8
707,7
708,5
709,9
710,0
711,8
712,6
713,9
714,6
715,4
716,4
717,5
718,4
719,9
720,8
721,6
722,4
723,10
724,9
725,4
726,5
727,3
728,1
729,1
730,10
731,1
732,8
733,6
734,4
735,1
736,3
737,0
738,1
739,7
740,3
741,7
742,3
743,3
744,7
745,0
746,10
747,2
748,6
749,8
750,4
751,2
752,4
753,5
754,8
755,9
756,8
757,10
758,9
759,2
760,2
761,2
762,0
763,7
764,1
765,1
766,2
767,9
768,2
769,10
770,6
771,4
772,6
773,5
774,6
775,2
776,1
777,5
778,5
779,4
780,10
