ID,Answer
0,長劍
1,《諸羅縣志》
2,袁晁
3,柏林陸軍學院
4,長盤勝負
5,東北抗日義勇軍軍歌，其中由孫銘武
6,1874年
7,西漢的版圖向西擴張
8,郵政機關
9,有所更改，以醜化對方
10,周星馳
11,秀吉
12,無障礙環境
13,
14,2004年
15,硫-34
16,休伯特•漢弗萊
17,外面的部份溫度會比內部核心的低。主序星或巨星的核心溫度至少有107克耳文
18,經濟
19,100公里
20,愛爾蘭語，在英語中也稱為[UNK]、[UNK]、[UNK][UNK]或[UNK]，因此在漢語中愛爾蘭語
21,荷蘭
22,硫磺
23,塞爾維亞反對黨
24,數十年
25,拜占庭外交
26,拉丁文[UNK]
27,路加是希臘人
28,1964年
29,
30,文化大革命
31,阿普列尤斯
32,灣仔區
33,中國
34,英文
35,1964年
36,臺北市
37,白色
38,遊行示威
39,南人
40,南宋
41,萬尼瓦爾·布希
42,46億年
43,1925年
44,社會保障法規
45,第一教學樓
46,1929年
47,卓越的航天技術
48,1932年
49,大型購物中心[UNK]開幕
50,
51,工學部
52,1960年代
53,亞歷山大一世被刺殺
54,紐約市
55,基督教
56,阿爾法版本
57,100萬
58,新北市教育
59,愛心聖誕大行動
60,勃艮第公爵
61,中國國民黨
62,中生代侏羅紀
63,阿拉貢國王卡洛斯三世
64,熱帶雨林氣候
65,意圖完全擺脫漢朝的控制
66,李宗仁
67,東漢
68,噴射發動機為動力，擺脫螺旋槳在接近音速時的上限
69,弘治十二年
70,亞洲
71,1994年
72,德意志聯邦共和國
73,
74,聖方濟·沙勿略是西班牙籍天主教傳教士，也是耶穌會創始人之一，首先將天主教信仰傳播到亞洲的麻六甲和日本。天主教會稱之為「歷史上最偉大的傳教士」；是「傳教士的主保
75,交通運輸部
76,高麗大學校主樓
77,八角鼓
78,羽柴秀吉
79,俾斯麥
80,金泳三
81,1958年
82,靈魂
83,科龍港
84,蓋爾人
85,四次重差觀測術
86,西漢元封二年
87,隋滅南陳
88,佛教
89,
90,豐臣秀吉
91,三吳地區
92,英國
93,壓縮一些過高指標
94,武漢水利電力大學
95,
96,1934年
97,檸檬酸咖啡因治療。使用檸檬酸咖啡因療法
98,1876年
99,1949年
100,大象
101,1915年
102,1600年
103,異裂
104,美國
105,芝諾比亞
106,沈器遠棄城退駐光陵。此時多鐸部也已攻破平壤，與皇太極會師。一月三十日仁祖與王世子李[UNK]
107,蒙古族
108,佛學論書
109,北海道大學
110,歐登堡
111,三天
112,1944年
113,曼努埃爾二世
114,咸豐帝
115,哈林河
116,孟加拉
117,尹伊桑
118,中原
119,荷蘭語
120,威廉·洛厄爾·普特南
121,國務委員
122,坦尚尼亞
123,陳寅恪
124,刺殺
125,喃字
126,二千九百公尺
127,1939年
128,害怕德軍在東線戰線上沒有足夠兵力應付俄國。故此，他決定於西線調派多一些兵力到東線上應付俄軍，此決定令德軍於西線的進攻上遇到更多困難。為迅速取得西線勝利
129,福建林家
130,用來運貨
131,民主黨
132,西人黨
133,2013年
134,臺北
135,查莫洛人
136,杭縣
137,蘇聯國旗
138,蘇黎世協定
139,1941年
140,政府資助研究
141,點石齋畫報
142,南越地區
143,1988年
144,上吊方式
145,喬治麥高文
146,張仲景的醫學臨床著作《傷寒雜病論》；隋朝醫學家巢元方的外科手術著作《諸病源候論》；明朝醫藥學家李時珍的《本草綱目》；明代醫學家吳有性
147,
148,阿拉里克
149,德蘇戰爭
150,髒層
151,工業國家
152,1949年
153,就業保障制度
154,清光緒十七年
155,雕像
156,國共內戰戰況失利
157,未經國聯批准下合併
158,乙醚
159,太武帝
160,卡爾梅克人
161,1969年初，劉少奇患重病
162,63位
163,卡利克斯特三世
164,古希臘時代
165,盧安達語
166,香港九龍半島東面
167,孫中山
168,農業
169,網景通訊公司
170,1870年8月2日
171,1999年
172,《天淨沙》
173,二次大戰
174,公元68年
175,趙佗
176,莎草紙
177,岑智明
178,普法戰爭，在法國稱1870年法德戰爭，在德國稱德法戰爭，是普魯士為了統一德國，並與法國爭奪歐洲大陸霸權而爆發的戰爭。戰爭是由法國發動，最後以普魯士大獲全勝
179,公元前362年
180,創建強力政府
181,28歲
182,1948年7月
183,保加利亞
184,便利使用
185,10度
186,日本社會黨
187,第三世界國家
188,波士頓
189,1992年
190,網球正拍擊球
191,
192,明朝
193,文藝復興
194,2000年
195,2012年
196,考古
197,
198,森林
199,阿森納女子足球俱樂部
200,多黨制
201,居民
202,1920年
203,浮動匯率制度。從1953年到1973年，以計劃經濟制度，人民幣與美元有正式
204,多倫多
205,
206,彌爾
207,反貪污特警隊
208,艾瑪·史東
209,在時域上數學形式為連續函式的訊號
210,生命力與流動性
211,亞歷山大一世
212,義大利的威尼斯影展
213,海拔1000米以上的雲貴高原上，但也因同時受到其南部中南半島的海洋氣流影響，加上地理位置上正處在冬季於中國活躍的兩般高壓區之間的真空帶，故即使西雙版納全年固有清涼
214,新北市
215,聯盟合作
216,釣魚臺列為自身領土，並且進而引起有關海上疆界劃定的爭端。其中中華人民共和國與中華民國認為早在1534年明朝
217,克孜勒
218,主持一線工作
219,好在歷史是人民寫的。他的病本非難症，只因治療不及時，引起多種併發症。特別是中共高層通知[UNK]不宜透視、拍片、會診，不久又將北京來的人員和藥品全部撤回
220,美觀
221,科學園區
222,西部地區
223,1982年
224,宣宗末年
225,部落最高領袖或皇帝
226,斯洛伐克布拉迪斯拉發
227,國立廣東大學
228,發明家
229,2006年
230,沒有
231,器官
232,1262年
233,荷蘭東印度公司
234,三倍
235,耗盡了核心的氫燃料，質量大於0.4太陽質量的恆星，會膨脹
236,颱風
237,2016年
238,1968年
239,世界第六
240,年輕的大學
241,武隆區
242,萬神廟
243,阿美族
244,黑死病
245,2007年
246,
247,由於據傳在與比提尼亞國王的性行為中處於被動地位
248,2009年
249,夏曼
250,溥[UNK]
251,創始人
252,決勝局必定是單數局
253,國民黨中央政治會議議決將廣東省省務會議改組成廣東省政府委員會
254,韓國遊戲
255,1951年
256,漢語拼音方案
257,1984年
258,地面車站
259,布倫瑞克造型藝術學院
260,法蘭西第二帝國
261,商業
262,
263,利用小型雷達測距儀追蹤目標的距離，協助飛行員找到最佳射擊時機，提高一般飛行員的命中率
264,哥白尼日心說
265,缺氧狀態
266,
267,明朝
268,1848年
269,1954年
270,1998年
271,韓國
272,《南華早報》
273,麻痺嗅覺神經
274,佛像
275,阿聯
276,灣仔發展計劃第二期
277,裝甲部隊
278,田川氏
279,天狼星
280,自律心肌細胞喪失了收縮性，但它們和工作心肌細胞
281,1985年
282,德語地區
283,離島機場
284,1237年
285,東羅馬
286,傅亮
287,奧地利
288,
289,1654年
290,清代
291,美川王
292,梁啟超
293,日本
294,1954年
295,太陽運動
296,諸葛長民
297,細胞外的鈣離子
298,383年
299,羅納爾迪尼奧
300,慕容垂
301,火山活動
302,利奧三世
303,拉丁字母
304,要提升飛機的飛行安全，降低因為鋼纜或者是滑輪等裝置失效導致失去控制的問題
305,丁基羥基甲苯
306,中緬大戰
307,斯德哥爾摩
308,第三紀中新世
309,中華民國
310,高麗時期
311,靳雲鵬
312,1958年
313,南極條約協商會議
314,1083種
315,曹魏故都智慧之旅
316,
317,布爾什維克革命
318,民主黨
319,邊沁
320,紅色
321,1928年
322,期貨合約
323,十多個
324,300美元
325,楊宇霆
326,民國33年黔南事變後，經時任中國陸軍總司令何應欽的推薦，楊森於民國34年1月調任貴州省政府主席。楊森在貴州當政期間，提出了「建設新貴州」的口號，並大力發展體育事業
327,元世祖
328,力自行車
329,數學
330,中華人民共和國湖北省中部
331,經濟
332,阻塞維持的時間
333,朱一貴
334,愛爾蘭語
